epoch,accuracy,loss
0,0.25732186,2.5894111021178112
1,0.30420622,2.387654968639303
2,0.33190432,2.288468056743708
3,0.3499675,2.224056409575645
4,0.36331284,2.176498656165553
5,0.3735081,2.141498760191911
6,0.38202128,2.114042914083934
7,0.3887567,2.0904693315479546
8,0.39445356,2.07214219341366
9,0.3988586,2.056108626545172
10,0.40280473,2.0426664657362936
11,0.4064905,2.03032170809129
12,0.40945795,2.0189173515026617
13,0.41244876,2.0092128418359523
14,0.41466144,2.0007141624305027
15,0.41729683,1.9923947275524212
16,0.41951185,1.9841101972457549
17,0.42174616,1.9763998160294354
18,0.42366666,1.9691349857304945
19,0.4251313,1.963727437041023
20,0.42705244,1.956824686887297
21,0.42862564,1.9513196841603513
22,0.43043858,1.9453581236408057
23,0.43186465,1.940174479316045
24,0.43285143,1.9358657595898896
25,0.43469754,1.9295547306711882
26,0.43580607,1.9257117592969377
27,0.43657643,1.9209117591841351
28,0.43825105,1.916360665993306
29,0.43934572,1.912062276179213
30,0.44032204,1.9095107131550915
31,0.4407292,1.9062524738170923
32,0.44172275,1.9024319743876676
33,0.4432533,1.8975291939404464
34,0.44397128,1.8935522710466712
35,0.44490767,1.8911590892200378
36,0.44540817,1.8874314860034818
37,0.44630432,1.8846295983585213
38,0.4470544,1.881616030931744
39,0.44820318,1.8775727322800044
40,0.4483381,1.877071876071342
41,0.44948214,1.8730463278730272
42,0.4499221,1.8704058907114036
43,0.451034,1.867074980146616
44,0.45122814,1.865259828390982
45,0.45210028,1.8628296339213186
46,0.45135868,1.8655012360487775
47,0.45308435,1.8593110548998342
48,0.45357877,1.857022420404434
49,0.45423415,1.8552959335851886
50,0.45500788,1.8517523809730367
51,0.45502412,1.8518945918224834
52,0.4530529,1.859137264492587
53,0.45512694,1.8508200440615155
54,0.45646,1.8465812682428526
55,0.45671195,1.845392609700902
56,0.45640692,1.8464914453567685
57,0.45738897,1.8416895264439868
58,0.45795575,1.839991650849007
59,0.4583629,1.8389695651651845
60,0.45887965,1.8372472457858542
61,0.45914748,1.8358343717729575
62,0.45930237,1.8347683081758392
63,0.45985258,1.832977504880034
64,0.45977613,1.8336138000698035
65,0.4585374,1.8381070051360915
66,0.46057895,1.8304437261307556
67,0.4599246,1.8322153742896157
68,0.4604085,1.8300447025354778
69,0.46117786,1.827235396324028
70,0.46177778,1.8258403456808296
71,0.46224615,1.823577907192416
72,0.39574063,2.0765577291058306
73,0.37637717,2.1340653185622918
74,0.45894524,1.8358092932509618
75,0.45016897,1.8671295719264431
76,0.46030945,1.8302785721579162
